
"annual population survey - regional - economic inactivity by reasons"
"ONS Crown Copyright Reserved [from Nomis on 10 August 2026]"
"Analysis   :","standard"
"Date       :","Apr 2025-Mar 2026"
"Sex        :","All persons"
"Age        :","Aged 16-64"
"Wants      :","Total"
"measure    :","Count"
"Confidence :","95% confidence interval (+/-)"

"Area","Total","Conf","Student","Conf","Looking after family/home","Conf","Temporary sick","Conf","Long-term sick","Conf","Discouraged","Conf","Retired","Conf","Other","Conf"

"country:United Kingdom",8818400,113900,2295300,58100,1585400,48300,209000,17500,2571700,61500,37600,7400,1075900,39800,1043500,39200
"country:Great Britain",8531900,113000,2223600,57700,1534600,47900,204500,17500,2464700,60700,37000,7400,1042400,39500,1025200,39200
"country:England",7280900,108200,1934800,55800,1352200,46600,169300,16500,2042000,57300,30900,7100,853500,37100,898100,38000
"country:Wales",474900,19800,108500,9500,69700,7600,14200,3400,157400,11400,3000,1600,66800,7400,55300,6800
"country:Scotland",776100,31500,180200,15200,112700,12000,21000,5200,265300,18400,3100,"*",122100,12500,71800,9600
"country:Northern Ireland",286400,16900,71700,8500,50800,7100,4600,2100,106900,10400,700,"!",33500,5800,18200,4300
"country:England and Wales",7755800,108600,2043400,55800,1421900,46500,183500,16700,2199400,57800,33900,7200,920300,37400,953500,38100
"gor:North East",407100,20200,93500,9700,77600,8800,11700,3400,136300,11700,800,"*",51100,7200,36100,6000
"gor:North West",1035400,38800,247900,19000,176000,16000,24500,6000,357200,22800,4800,2600,119600,13200,105400,12400
"gor:Yorkshire and The Humber",788500,33300,193200,16500,140400,14100,21600,5500,251700,18800,3500,"*",93800,11500,84300,10900
"gor:East Midlands",632100,33300,159700,16700,116100,14300,9700,4100,195200,18500,3000,"*",79200,11800,69300,11000
"gor:West Midlands",804100,38100,213000,19600,162000,17100,19400,5900,231500,20400,3500,2500,86000,12500,88600,12600
"gor:East",708300,35700,170700,17500,136900,15700,12500,4700,187200,18400,1300,"*",107300,13900,92300,12900
"gor:London",1257000,56700,416000,32600,274800,26500,33500,9300,241400,24800,8200,4600,77100,14000,206000,23000
"gor:South East",1029500,39800,284900,20900,171800,16300,24000,6100,268700,20300,4100,"*",136600,14500,139300,14600
"gor:South West",619000,28100,155900,14100,96400,11100,12300,3900,173000,14800,1800,"*",102700,11400,76900,9900
"gor:Wales",474900,19800,108500,9500,69700,7600,14200,3400,157400,11400,3000,1600,66800,7400,55300,6800
"gor:Scotland",776100,31500,180200,15200,112700,12000,21000,5200,265300,18400,3100,"*",122100,12500,71800,9600
"gor:Northern Ireland",286400,16900,71700,8500,50800,7100,4600,2100,106900,10400,700,"!",33500,5800,18200,4300



"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"







"annual population survey - regional - economic inactivity by reasons"
"ONS Crown Copyright Reserved [from Nomis on 10 August 2026]"
"Analysis   :","standard"
"Date       :","Apr 2025-Mar 2026"
"Sex        :","All persons"
"Age        :","Aged 16-64"
"Wants      :","Total"
"measure    :","Percent"
"Confidence :","95% confidence interval (+/-)"

"Area","Total","Conf","Student","Conf","Looking after family/home","Conf","Temporary sick","Conf","Long-term sick","Conf","Discouraged","Conf","Retired","Conf","Other","Conf"

"country:United Kingdom",100.0,-,26.0,0.6,18.0,0.5,2.4,0.2,29.2,0.6,0.4,0.1,12.2,0.4,11.8,0.4
